NUMBER,SENTENCE,ACTUAL_VALUE,PREDICTED_VALUE
1329,"Access to and use of Beta versions may be subject to additional agreements.",0,0
1330,"If you are sending GrabGifts, you acknowledge and confirm that: your intended recipient will be able to view your Grab account username; you are responsible for ensuring that the delivery details (e.g. recipient’s name, phone number, country) provided by you are accurate and complete.",3,3
1331,"“Contents” means information such as text, sounds, music, images, videos, software, programs, computer code, and other information.",0,0
1332,"We reserve the right to use the information about your usage of the Service and demographics in forms that do not reveal your personal identity.",1,0
1333,"Using or accessing the Websites indicates your acceptance of these terms and conditions.",3,0
1334,"We reserve the right at our sole discretion to terminate or suspend any Account, or make use of any operational, technological, legal or other means available to enforce the Terms (including without limitation blocking specific IP addresses), at any time without liability and without the need to give you prior notice.",1,0
1335,"GrabGifts cannot be transferred to another Grab account.",2,2
1336,"you agree that you will not Promote, encourage or take part in any prohibited activity described above.",2,2
1337,"The User is responsible and liable for all use he makes of the Service, including but not limited to his use of his Account and/or Profile.",3,0
1338,"You may from time to time provide Grammarly with suggestions, comments, recommendations, improvements, solutions, bug fixes, features, concepts, techniques, ideas, know-how and/or any feedback regarding the Services, the Software, the Site and/or any of Grammarly’s related technologies (“Feedback”).",1,1
1339,"The Cookies used on our Site, regardless of whether they are used for service purposes or commercial purposes, are categorized as follows: a) Strictly necessary b) Performance c) Functionality d) Targeting.",0,0
1340,"You can review the most current version of the Terms of Service at any time on this page.",1,0
1341,"However, you agree that Box can apply for injunctive remedies in any jurisdiction.",3,3
1342,"Activity Materials will not include Translation Materials.",0,0
1343,"You should access and use HiTV Services upon abiding by this Agreement and relevant applicable laws and regulations.",3,0
1344,"Where available, driver-partners will be provided with a GrabPay stored value facility wallet.",0,0
1345,"The User acknowledges and agrees that he does not acquire any rights therein, express or implied, except for the rights expressly granted under these Terms of Use.",3,0
1346,"PLEASE NOTE: THE APP AND THE SITE MAKE USE OF DETAILED LOCATION AND ROUTE INFORMATION, INCLUDING IN THE FORM OF GPS SIGNALS AND OTHER INFORMATION SENT BY YOUR MOBILE DEVICE ON WHICH THE SERVICE IS ACTIVATED.",0,0
1347,"Safety and Security",0,0
1348,"This means, for example, that if you share a photo on Facebook, you give us permission to store, copy, and share it with others (again, consistent with your settings) such as service providers that support our service or other Meta Products you use.",1,1
1349,"Nevertheless, the English version governs your relationship with Yelp, and any inconsistencies among the different versions will be resolved in favor of the English version available here.",0,0
1350,"SECTION 3 - ACCURACY, COMPLETENESS AND TIMELINESS OF INFORMATION",0,0
1351,"For more information, please see our Export Controls policy.",0,0
1352,"Trademark information.",0,0
1353,"Please read these Terms of Use carefully so that you know what your rights and obligations are when using the Service.",3,3
1354,"Cancellation.",0,0
1355,"Survival.",0,0
1356,"Your use of the Service, your User Content, and your Designs, must comply with Canva’s Acceptable Use Policy.",3,0
1357,"You agree to immediately notify us of any unauthorized use of your account, username or password, as the case may be.",3,0
1358,"We design our systems so that your experience is consistent and seamless across the different Meta Company Products that you use.",0,0
1359,"5. CONSENT TO ELECTRONIC COMMUNICATIONS AND SOLICITATION",0,0
1360,"Zoom makes no representations that a Beta version will ever be made generally available and reserves the right to discontinue or modify a Beta version at any time without notice.",1,0
